🧜‍♂,ガソリンスタンド
🧝,ガソリンスタンド
🧝‍♀,ガソリンスタンド
🧝‍♂,ガソリンスタンド
🧞,天秤座
🧞‍♀,猫
🧞‍♂,人影
🧟,猫
🧟‍♀,猫
🧟‍♂,猫
🙍,ぴかぴか（新しい）
🙍‍♂,ぴかぴか（新しい）
🙍‍♀,ぴかぴか（新しい）
🙎,メモ
🙎‍♂,メモ
🙎‍♀,メモ
🙅,音楽
🙅‍♂,音楽
🙅‍♀,音楽
🙆,ＴＶ
🙆‍♂,ＴＶ
🙆‍♀,ＴＶ
💁,時計
💁‍♂,音楽
💁‍♀,音楽
🙋,人影
🙋‍♂,ゲーム
🙋‍♀,猫
🙇,耳
🙇‍♂,耳
🙇‍♀,耳
🤦,音楽
🤦‍♂,音楽
🤦‍♀,音楽
🤷,蠍座
🤷‍♂,蠍座
🤷‍♀,蠍座
💆,ダッシュ（走り出すさま）
💆‍♂,ダッシュ（走り出すさま）
💆‍♀,ダッシュ（走り出すさま）
💇,猫
💇‍♂,猫
💇‍♀,猫
🚶,グッド（上向き矢印）
🚶‍♂,グッド（上向き矢印）
🚶‍♀,グッド（上向き矢印）
🏃,雪
🏃‍♂,雪
🏃‍♀,雪
💃,ゲーム
🕺,ゲーム
👯,ゲーム
👯‍♂,ゲーム
👯‍♀,ゲーム
🧖,プレゼント
🧖‍♀,プレゼント
🧖‍♂,プレゼント
🧗,山羊座
🧗‍♀,猫
🧗‍♂,山羊座
🧘,ゴルフ
🧘‍♀,ゴルフ
🧘‍♂,ゴルフ
🛀,水瓶座
🛌,足
🕴,黒ハート
🗣,黒ハート
👤,人影
👥,ゲーム
🤺,もうやだ～（悲しい顔）
🏇,ゲーム
⛷,グッド（上向き矢印）
🏂,雪
🏌,グッド（上向き矢印）
🏌‍♂,グッド（上向き矢印）
🏌‍♀,グッド（上向き矢印）
🏄,グッド（上向き矢印）
🏄‍♂,グッド（上向き矢印）
🏄‍♀,グッド（上向き矢印）
🚣,船
🚣‍♂,船
🚣‍♀,船
🏊,ゲーム
🏊‍♂,ゲーム
🏊‍♀,ゲーム
⛹,もうやだ～（悲しい顔）
⛹‍♂,もうやだ～（悲しい顔）
⛹‍♀,もうやだ～（悲しい顔）
🏋,もうやだ～（悲しい顔）
🏋‍♂,もうやだ～（悲しい顔）
🏋‍♀,もうやだ～（悲しい顔）
🚴,レストラン
🚴‍♂,レストラン
🚴‍♀,レストラン
🚵,レストラン
🚵‍♂,レストラン
🚵‍♀,レストラン
🏎,車椅子
🏍,車椅子
🤸,もうやだ～（悲しい顔）
🤸‍♂,もうやだ～（悲しい顔）
🤸‍♀,もうやだ～（悲しい顔）
🤼,もうやだ～（悲しい顔）
🤼‍♂,もうやだ～（悲しい顔）
🤼‍♀,もうやだ～（悲しい顔）
🤽,もうやだ～（悲しい顔）
🤽‍♂,もうやだ～（悲しい顔）
🤽‍♀,もうやだ～（悲しい顔）
🤾,もうやだ～（悲しい顔）
🤾‍♂,もうやだ～（悲しい顔）
🤾‍♀,もうやだ～（悲しい顔）
🤹,メモ
🤹‍♂,メモ
🤹‍♀,メモ
👫,ゲーム
👬,ゲーム
👭,ゲーム
💏,人影
💑,人影
👪,人影
🤳,ー（長音記号１）
💪,ＮＥＷ
👈,左斜め上
👉,右斜め上
☝,がく～（落胆した顔）
👆,がく～（落胆した顔）
🖕,がく～（落胆した顔）
👇,時計
✌,ダッシュ（走り出すさま）
🤞,手（パー）
🖖,ペン
🤘,猫
🤙,手（パー）
🖐,ポイント
✋,ポイント
👌,ＴＶ
👍,ＴＶ
👎,音楽
✊,ゴルフ
👊,ゴルフ
🤛,ぴかぴか（新しい）
🤜,ぴかぴか（新しい）
🤚,手（パー）
👋,ゴルフ
🤟,ぴかぴか（新しい）
✍,手（パー）
👏,音楽
👐,手（パー）
🙌,ゴルフ
🤲,足
🙏,蟹座
🤝,むかっ（怒り）
💅,ゴルフ
👂,かわいい
👃,かわいい
👣,足
👀,かわいい
👁,眼鏡
👁‍🗨,水瓶座
🧠,やや欠け月
👅,ぴかぴか（新しい）
👄,猫
💋,猫
💘,猫
❤,ダッシュ（走り出すさま）
💓,メモ
💔,ダッシュ（走り出すさま）
💕,ダッシュ（走り出すさま）
💖,ぴかぴか（新しい）
💗,メモ
💙,ダッシュ（走り出すさま）
💚,ダッシュ（走り出すさま）
💛,ダッシュ（走り出すさま）
🧡,ダッシュ（走り出すさま）
💜,ダッシュ（走り出すさま）
🖤,ダッシュ（走り出すさま）
💝,ダッシュ（走り出すさま）
💞,猫
💟,ダッシュ（走り出すさま）
❣,ぴかぴか（新しい）
💌,ダッシュ（走り出すさま）
💤,ゲーム
💢,キスマーク
💣,爆弾
💥,耳
💦,水瓶座
💨,飛行機
💫,ゲーム
💬,音楽
🗨,音楽
🗯,水瓶座
💭,ぴかぴか（新しい）
🕳,水瓶座
👓,猫
🕶,黒ハート
👔,黒ハート
👕,猫
👖,黒ハート
🧣,黒ハート
🧤,黒ハート
🧥,グッド（上向き矢印）
🧦,黒ハート
👗,猫
👘,黒ハート
👙,猫
👚,黒ハート
👛,手（パー）
👜,猫
👝,プレゼント
🛍,プレゼント
🎒,眼鏡
👞,ＴＶ
👟,黒ハート
👠,足
👡,足
👢,黒ハート
👑,ドコモ提供
👒,黒ハート
🎩,黒ハート
🎓,駐車場
🧢,台風
⛑,足
📿,猫
💄,ドコモ提供
💍,ＴＶ
💎,ＴＶ
🐵,ガソリンスタンド
🐒,ガソリンスタンド
🦍,猫
🐶,犬
🐕,犬
🐩,猫
🐺,猫
🦊,猫
🐱,猫
🐈,猫
🦁,猫
🐯,ポイント
🐅,ポイント
🐆,猫
🐴,牡牛座
🐎,牡牛座
🦄,メモ
🦓,猫
🦌,ガソリンスタンド
🐮,牡牛座
🐂,牡牛座
🐃,ポイント
🐄,牡牛座
🐷,猫
🐖,猫
🐗,蟹座
🐽,猫
🐏,犬
🐑,犬
🐐,猫
🐪,犬
🐫,犬
🦒,蟹座
🐘,猫
🦏,ガソリンスタンド
🐭,猫
🐁,猫
🐀,猫
🐹,猫
🐰,猫
🐇,猫
🐿,ぴかぴか（新しい）
🦔,眼鏡
🦇,蟹座
🐻,あせあせ（飛び散る汗）
🐨,蟹座
🐼,猫
🐾,猫
🦃,ダッシュ（走り出すさま）
🐔,ぴかぴか（新しい）
🐓,ぴかぴか（新しい）
🐣,ぴかぴか（新しい）
🐤,ぴかぴか（新しい）
🐥,ぴかぴか（新しい）
🐦,猫
🐧,猫
🕊,ガソリンスタンド
🦅,ゴルフ
🦆,猫
🦉,猫
🐸,猫
🐊,蟹座
🐢,蟹座
🦎,蟹座
🐍,蟹座
🐲,ガソリンスタンド
🐉,ガソリンスタンド
🦕,猫
🦖,ガソリンスタンド
🐳,魚座
🐋,魚座
🐬,蟹座
🐟,猫
🐠,猫
🐡,蟹座
🦈,魚座
🐙,蟹座
🐚,猫
🦀,蟹座
🦐,蟹座
🦑,ガソリンスタンド
🐌,蟹座
🦋,蟹座
🐛,蟹座
🐜,ガソリンスタンド
🐝,猫
🐞,メモ
🦗,魚座
🕷,魚座
🕸,魚座
🦂,蟹座
💐,ダッシュ（走り出すさま）
🌸,雪
💮,ぴかぴか（新しい）
🏵,魚座
🌹,ポイント
🥀,蟹座
🌺,ゴルフ
🌻,蟹座
🌼,蟹座
🌷,蟹座
🌱,獅子座
🌲,魚座
🌳,蟹座
🌴,蟹座
🌵,蟹座
🌾,蟹座
🌿,グッド（上向き矢印）
☘,ゴルフ
🍀,4
🍁,ぴかぴか（新しい）
🍂,蟹座
🍃,蟹座
🍇,ダッシュ（走り出すさま）
🍈,ポイント
🍉,黒ハート
🍊,黒ハート
🍋,グッド（上向き矢印）
🍌,蟹座
🍍,グッド（上向き矢印）
🍎,ブティック
🍏,ブティック
🍐,ビール
🍑,グッド（上向き矢印）
🍒,ぴかぴか（新しい）
🍓,ぴかぴか（新しい）
🥝,蟹座
🍅,蟹座
🥥,ポイント
🥑,蟹座
🍆,ポイント
🥔,蟹座
🥕,蟹座
🌽,ペン
🌶,ぴかぴか（新しい）
🥒,蟹座
🥦,蟹座
🍄,蟹座
🥜,蟹座
🌰,ぴかぴか（新しい）
🍞,ポイント
🥐,蟹座
🥖,蟹座
🥨,揺れるハート
🥞,蟹座
🧀,蟹座
🍖,蟹座
🍗,グッド（上向き矢印）
🥩,蟹座
🥓,ダッシュ（走り出すさま）
🍔,ポイント
🍟,喫煙
🍕,蟹座
🌭,蟹座
🥪,喫煙
🌮,ゲーム
🌯,ダッシュ（走り出すさま）
🥙,蟹座
🥚,魚座
🍳,蟹座
🥘,蟹座
🍲,ダッシュ（走り出すさま）
🥣,蟹座
🥗,ペン
🍿,猫
🥫,水瓶座
🍱,蟹座
🍘,猫
🍙,蟹座
🍚,蟹座
🍛,蟹座
🍜,ぴかぴか（新しい）
🍝,ゴルフ
🍠,蟹座
🍢,蟹座
🍣,蟹座
🍤,蟹座
🍥,霧
🍡,蟹座
🥟,獅子座
🥠,手（パー）
🥡,獅子座
